w_grid_size,h_grid_size,s_learn_rate,f_learn_rate,initial_neighbour_size,neigbour_range_decay,random_seed,iterations,distribution_type,metric_type,graph_type,score,
5,5,0.200000,0.000000,20.000000,3.000000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.604656,
5,5,0.200000,0.000000,20.000000,3.000000,0,10000,normal_distribution,Euclidian,Grid6,0.537491,
5,5,0.200000,0.000000,25.000000,1.500000,0,100,uniform_real_distribution,Euclidian,Grid6,0.985864,
5,5,0.200000,0.000000,25.000000,1.500000,0,100,normal_distribution,Euclidian,Grid6,0.857533,
5,5,0.200000,0.000000,20.000000,3.000000,0,10000,exponential_distribution,Euclidian,Grid6,0.542539,
5,5,0.200000,0.000000,25.000000,1.500000,0,100,exponential_distribution,Euclidian,Grid6,0.947073,
5,5,0.200000,0.000000,25.000000,1.500000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.839297,
5,5,0.200000,0.000000,25.000000,1.500000,0,1000,normal_distribution,Euclidian,Grid6,0.830187,
5,5,0.200000,0.000000,25.000000,1.500000,0,1000,exponential_distribution,Euclidian,Grid6,0.796569,
5,5,0.200000,0.000000,25.000000,1.500000,0,5000,uniform_real_distribution,Euclidian,Grid6,0.677499,
5,5,0.200000,0.000000,25.000000,1.500000,0,5000,normal_distribution,Euclidian,Grid6,0.683447,
5,5,0.200000,0.000000,25.000000,1.500000,0,5000,exponential_distribution,Euclidian,Grid6,0.680216,
5,5,0.200000,0.000000,25.000000,1.500000,0,10000,uniform_real_distribution,Euclidian,Grid6,0.675338,
5,5,0.200000,0.000000,25.000000,1.500000,0,10000,normal_distribution,Euclidian,Grid6,0.662807,
5,5,0.200000,0.000000,25.000000,2.000000,0,100,uniform_real_distribution,Euclidian,Grid6,0.966926,
5,5,0.200000,0.000000,25.000000,1.500000,0,10000,exponential_distribution,Euclidian,Grid6,0.655883,
5,5,0.200000,0.000000,25.000000,2.000000,0,100,normal_distribution,Euclidian,Grid6,0.937338,
5,5,0.200000,0.000000,25.000000,2.000000,0,100,exponential_distribution,Euclidian,Grid6,0.940965,
5,5,0.200000,0.000000,25.000000,2.000000,0,1000,uniform_real_distribution,Euclidian,Grid6,0.756663,
5,5,0.200000,0.000000,25.000000,2.000000,0,1000,normal_distribution,Euclidian,Grid6,0.857110,
5,5,0.200000,0.000000,25.000000,2.000000,0,1000,exponential_distribution,Euclidian,Grid6,0.822761,
